day,average_pos_diff
2020-07-26,0.0008962898042652631
2020-07-27,0.019344358629953
2020-07-28,0.011220245398773037
2020-07-29,0.0025560057887120203
2020-07-30,-0.004101375814627059
2020-07-31,0.007766162093976655
2020-08-01,0.005651184834123229
2020-08-02,0.00920670391061452
2020-08-03,0.007883693516699413
2020-08-04,0.0030687969924811996
2020-08-05,0.015555534204458103
2020-08-06,0.014550891731219606
2020-08-07,0.00892152683588449
2020-08-08,0.006938990182328186
2020-08-09,0.0138072261072261
2020-08-10,0.014583955223880537
2020-08-11,0.009683074440185594
2020-08-12,0.01459885523491534
2020-08-13,-0.0005174512987012992
2020-08-14,0.0030620542082738945
2020-08-15,0.02153164951668223
2020-08-16,0.010704422869471413
2020-08-17,0.01833520838660189
2020-08-18,0.01288544760288498
2020-08-19,0.018447765212708682
2020-08-20,0.02155680272108845
2020-08-21,0.019142520215633424
2020-08-22,0.009921098978513553
2020-08-23,-0.006497535667963675
2020-08-24,0.016160906515580744
2020-08-25,0.013637376879212026
2020-08-26,0.00881400839454351
2020-08-27,0.01864626783754112
2020-08-28,0.01711228242216229
2020-08-29,0.013536496350364961
2020-08-30,0.0031502690238278267
2020-08-31,-0.008578640210096286
2020-09-01,-0.007330053667262973
2020-09-02,0.0029997577519379867
2020-09-03,0.005753353204172886
2020-09-04,0.015112218649517669
2020-09-05,0.02351144708423326
2020-09-06,0.01619234972677595
2020-09-07,0.0047872962808190546
2020-09-08,0.003145962732919251
2020-09-09,-0.015416032148900149
2020-09-10,-0.02954509995124329
2020-09-11,-0.012831039755351688
2020-09-12,-0.00515322580645161
2020-09-13,-0.010514331723027372
2020-09-14,-0.007318390804597707
2020-09-15,0.01077592295345103
2020-09-16,-5.773989551827122e-05
2020-09-17,-0.000572632944228277
2020-09-18,0.0008702600216684709
2020-09-19,0.0010623320795271306
2020-09-20,-0.004003051881993893
2020-09-21,-0.0019172335600907032
2020-09-22,-0.01673789692868304
2020-09-23,-0.002139146567717982
2020-09-24,0.010675292449486
2020-09-25,0.003617507886435327
2020-09-26,0.012409090909090901
2020-09-27,0.009719674985490402
2020-09-28,0.0166675037669513
2020-09-29,0.008620711766591859
2020-09-30,-0.006440114408294616
2020-10-01,0.016896766653681332
2020-10-02,0.03134620664409285
2020-10-03,0.010484435117173953
2020-10-04,0.0018847175491411299
2020-10-05,-0.00484570475396164
2020-10-06,-0.012925730110775482
2020-10-07,0.0010338139375214632
2020-10-08,-7.263922518154054e-06
2020-10-09,0.005246740467404666
2020-10-10,0.0033408859470468676
2020-10-11,-0.000921167883211674
2020-10-12,0.010306164183464746
2020-10-13,0.002769960474308299
2020-10-14,0.018000297088532374
2020-10-15,0.011705115346038113
2020-10-16,0.011113694151834365
2020-10-17,0.015885485047410646
2020-10-18,0.034642752023546684
2020-10-19,0.016922774869109976
2020-10-20,0.008702665755297354
2020-10-21,0.010882221602009485
2020-10-22,0.014848341232227441
2020-10-23,0.017121773815110267
2020-10-24,0.008171859039836577
2020-10-25,-0.006780944943381455
2020-10-26,0.0015738539898132327
2020-10-27,0.004688149688149691
2020-10-28,0.017461240310077546
2020-10-29,0.013611872146118698
2020-10-30,-0.007365932511618506
2020-10-31,0.004781330825299784
2020-11-01,-0.00043794490869699515
2020-11-02,0.010126480836236929
2020-11-03,0.014377673069952855
2020-11-04,0.0027028455284552797
2020-11-05,0.0009408391186236048
2020-11-06,0.011926394293125836
2020-11-07,0.033861076345431784
2020-11-08,0.042415492957746354
2020-11-09,0.06366710613052069
2020-11-10,0.02808391947610964
2020-11-11,0.017555138950154384
2020-11-12,0.010848020654044761
2020-11-13,-0.0024751783816608533
2020-11-14,0.020584434968017058
2020-11-15,0.003719787822878233
2020-11-16,0.022224690458849238
2020-11-17,0.02606217912150598
2020-11-18,0.02431081296917419
2020-11-19,0.0092304714989444
2020-11-20,0.030557732316227486
2020-11-21,0.028086458333333394
2020-11-22,0.008664684591520167
2020-11-23,0.033818623875516624
2020-11-24,0.02572841404048168
2020-11-25,0.02427888655462179
2020-11-26,0.03132501599488166
2020-11-27,0.026954814189189224
2020-11-28,0.020153463451970857
2020-11-29,0.021653181461115473
2020-11-30,0.029754822650902263
2020-12-01,0.019467645594823228
2020-12-02,0.031010722347629728
2020-12-03,0.03335488447507077
2020-12-04,0.019548370273793955
2020-12-05,0.02237195955179008
2020-12-06,0.02415093256814926
2020-12-07,0.014992588932806262
2020-12-08,0.00562305295950157
2020-12-09,0.026362255466052902
2020-12-10,0.012821765209940003
2020-12-11,0.016983252296056222
2020-12-12,0.03572092463279554
2020-12-13,0.036902657423454624
2020-12-14,0.04025676937441643
2020-12-15,0.05445412168792936
2020-12-16,0.033670920920920874
2020-12-17,0.019237356168049217
2020-12-18,0.012911196911196937
2020-12-19,0.008095671981776771
2020-12-20,0.001543005815733085
2020-12-21,0.008027596588058192
2020-12-22,0.020253373313343332
2020-12-23,0.018496203194553505
2020-12-24,0.02224978466838935
2020-12-25,0.026782475019215962
2020-12-26,-0.0013315994798439512
2020-12-27,-0.006097227802330243
2020-12-28,0.016710784313725503
2020-12-29,0.0075454545454545505
2020-12-30,-0.00926089552238809
2020-12-31,0.008760903671164102
2021-01-01,0.006250604351329578
2021-01-02,0.0016026845637583888
2021-01-03,-0.002546928746928752
2021-01-04,0.020283223374175294
2021-01-05,0.02105170665765461
2021-01-06,0.01839108221086857
2021-01-07,0.011697772426249258
2021-01-08,0.0145396897810219
2021-01-09,0.010713453698311016
2021-01-10,0.019542234332425062
2021-01-11,0.01854580896686157
2021-01-12,0.0022688311688311797
2021-01-13,0.017965933592065567
2021-01-14,0.04277054631828977
2021-01-15,0.02258834729626809
2021-01-16,0.021305084745762707
2021-01-17,0.02621794871794873
2021-01-18,0.015506470588235292
2021-01-19,0.033658227848101255
2021-01-20,0.04269596891695
2021-01-21,0.017514403292181055
2021-01-22,0.012593799682034983
2021-01-23,0.022954668105774387
2021-01-24,0.020366497461928923
2021-01-25,0.010620705042391794
2021-01-26,0.031144748455428067
2021-01-27,0.036396676608436325
2021-01-28,0.034598609904430956
2021-01-29,0.03113462446858758
2021-01-30,0.02562147505422992
2021-01-31,0.008596890616324262
2021-02-01,0.02846107456140349
2021-02-02,0.0342198863636363
2021-02-03,0.03169094804499196
2021-02-04,0.023962763086886114
2021-02-05,0.046607124148768934
2021-02-06,0.030379623621025285
2021-02-07,0.03700848111025446
2021-02-08,0.0268537974683544
2021-02-09,0.03954177545691904
2021-02-10,0.03778668941979524
2021-02-11,0.030771966527196656
2021-02-12,0.026609994568169464
2021-02-13,0.019614775725593635
2021-02-14,0.020797196261682242
2021-02-15,0.023494014365522734
2021-02-16,0.028126972201352386
2021-02-17,0.031387844611528846
2021-02-18,0.021187696170747006
2021-02-19,0.0321908244680851
2021-02-20,0.018585261353898874
2021-02-21,0.02284387838948235
2021-02-22,0.012556045340050394
2021-02-23,0.020961580086580094
2021-02-24,0.03580326944757613
2021-02-25,0.06018604651162792
